Areas verdes; esparcimiento,Deporte,Edificaciones públicas,Educación y cultura,Habitacional,Portuarias y aeroportuarias,Salud y sanidad,Transporte terrestre
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
0.0,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
0.0,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
0.0,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,2.464461501364425
5.7378904935015544,0.0,5.093097507422958,0.0,0.0,0.0,0.0,1.7984489488536026
1.6870364080607854,5.29812712935983,3.312760068947203,2.7390043617931945,0.0,7.654766283869303,1.9527994205622965,3.200475041148053
0.8966371117783573,4.303617666966425,1.1952083468811008,3.051143266436406,0.0,7.654766283869303,1.9527994205622965,3.200475041148053
0.34109728815980095,4.303617666966425,0.6497161058142017,0.7510844808828983,0.0,7.654766283869303,1.9527994205622965,2.9941237753415164
0.08942110536142517,3.6486159483007317,0.6497161058142017,0.4389455762396866,0.0,7.654766283869303,8.368130168217425,2.9941237753415164
0.08942110536142517,3.6486159483007317,2.767267827880304,0.0,0.0,7.654766283869303,8.368130168217425,2.9941237753415164
0.156521144405069,3.6486159483007317,2.767267827880304,0.0,0.0,7.654766283869303,8.419972070802473,1.7984489488536026
0.156521144405069,3.6486159483007317,2.767267827880304,0.0,0.0,7.654766283869303,8.368130168217425,3.15722562447841
2.560969280574396,1.9177937072676543,2.117551722066102,0.0,0.0,7.654766283869303,8.368130168217425,3.3635768902849463
2.560969280574396,1.9177937072676543,2.117551722066102,0.0,0.0,7.898785438718829,8.368130168217425,3.3635768902849463
2.1903289991597705,2.9123031696610586,2.117551722066102,0.0,0.0,7.898785438718829,8.368130168217425,3.3635768902849463
1.3213423053468751,1.6495111810590983,3.3195497280769732,0.0,0.0,7.654766283869303,8.368130168217425,3.3635768902849463
2.2199573739213445,5.29812712935983,3.312760068947203,0.4389455762396866,0.0,7.654766283869303,1.9527994205622965,3.3635768902849463
0.5697640533682461,2.6150062877489155,0.0,6.666375205601993,33.333333333333336,0.0,0.0,1.291625329928918
0.5697640533682461,2.6150062877489155,0.0,6.666375205601993,33.333333333333336,0.0,0.0,1.291625329928918
0.5697640533682461,2.6150062877489155,0.9250660699813155,6.666375205601993,0.0,0.0,0.0,1.291625329928918
0.33198130236384166,2.6150062877489155,0.9237192644184603,6.666375205601993,0.0,0.0,0.0,1.291625329928918
0.33198130236384166,2.6150062877489155,0.9237192644184603,9.832484994375763,0.0,0.0,0.0,1.291625329928918
1.2236666186303586,0.20687145460343928,0.9237192644184603,9.28695386927592,0.0,0.0,4.238798386970042,1.291625329928918
1.2236666186303586,7.941294457850031,0.9237192644184603,6.732218091207827,0.0,0.0,4.238798386970042,1.291625329928918
1.2236666186303586,7.941294457850031,0.9237192644184603,6.732218091207827,0.0,0.0,4.238798386970042,1.291625329928918
1.2236666186303586,7.941294457850031,0.9237192644184603,6.732218091207827,0.0,0.0,4.238798386970042,3.0900742787825206
1.2236666186303586,7.941294457850031,1.179865190976828,6.186888539550495,0.0,0.0,5.409809765593363,3.0900742787825206
1.2236666186303586,10.142557836392067,1.179865190976828,4.111639427533899,0.0,7.654766283869303,1.1710113786233214,1.291625329928918
22.433163680151676,2.6150062877489155,0.25614592655836765,4.111639427533899,33.333333333333336,0.0,1.1710113786233214,1.291625329928918
0.3416270877480076,0.0,0.0,0.0,0.0,0.0,0.0,1.291625329928918
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291625329928918
0.0,0.0,0.5410805743200521,0.0,0.0,0.0,0.0,1.291625329928918
0.0,0.0,0.5410805743200521,0.0,0.0,0.0,0.0,1.291625329928918
0.0,0.0,0.5410805743200521,0.0,0.0,0.0,0.0,1.291625329928918
0.13078051305242247,0.0,0.5410805743200521,0.0,0.0,0.0,0.0090103289766127,1.291625329928918
0.13078051305242247,0.0,0.5410805743200521,0.0,0.0,0.0,0.43984135382312634,1.291625329928918
0.13078051305242247,0.0,0.0,0.9914591322597315,0.0,0.0,0.0090103289766127,1.291625329928918
0.13078051305242247,0.0,0.0,0.9914591322597315,0.0,0.0,0.0090103289766127,2.330547804826325
0.13078051305242247,0.0,0.0,0.9914591322597315,0.0,0.0,0.0090103289766127,2.330547804826325
0.47240760080043004,0.0,0.0,5.103098559793631,0.0,0.0,0.0090103289766127,1.883531429747239
0.47240760080043004,0.0,0.0,4.111639427533899,0.0,0.0,0.0,1.291625329928918
